trialNb	groupNb	indexInGroup	cue	association	assoNb	timeToFirstKeypress	timeToSubmission	list	load	original_pattern	reproduced_pattern	correct	hits	misses	falseAlarms
37	8	2	al	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
37	8	2	al	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
37	8	2	al	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
38	8	3	kwaad	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
38	8	3	kwaad	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
38	8	3	kwaad	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
39	8	4	fier	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
39	8	4	fier	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
39	8	4	fier	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
40	8	5	uitkijk	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
40	8	5	uitkijk	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
40	8	5	uitkijk	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0000111100000000	0000000000000000	0	0	4	0
41	9	1	dronken	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
41	9	1	dronken	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
41	9	1	dronken	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
42	9	2	koprol	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
42	9	2	koprol	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
42	9	2	koprol	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
43	9	3	auto	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
43	9	3	auto	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
43	9	3	auto	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
44	9	4	prijzig	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
44	9	4	prijzig	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
44	9	4	prijzig	__UNKNOWN__	3	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
45	9	5	baby	__UNKNOWN__	1	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
45	9	5	baby	__UNKNOWN__	2	-1	-1	1	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
